Comment,Designator,Footprint,LCSC
Conn_01x02_Socket,"J31,J32",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C160237
SW_SPDT,"SW_POWERR31,SW_POWERR32",SW_SPDT_PCM12,C221841
RotaryEncoder_Switch,"SW1,SW2",ROT_Alps_EC11E-Switch,C255515
MX_SW_HS,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX26,MX27,MX28,MX29,MX3,MX30,MX31,MX32,MX33,MX34,MX35,MX36,MX37,MX38,MX39,MX4,MX40,MX41,MX42,MX43,MX44,MX45,MX46,MX47,MX48,MX49,MX5,MX50,MX51,MX52,MX53,MX54,MX55,MX56,MX57,MX58,MX59,MX6,MX7,MX8,MX9",SW_choc_v1_HS_CPG135001S30_1u,C5333465
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D7,D8,D9",D_SOD-123,C8598
MX_SW_HS,MX60,SW_choc_v1_HS_CPG135001S30_1.25u,
MX_SW_HS,MX25,SW_choc_v1_HS_CPG135001S30_1.25u,
